"ID","Type","SKU","Title","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Sold individually?","Size","Price","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross - sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
,,,"18K Gold Plated Zircon Decor Earrings",,,,,"Gender:Women,Quantity:2 pcs,Style:Fashionable,Details:Geometric,Color:Gold,Type:Hoop,Material:Copper,Metals Type:K-Gold,Metals Type:Artificial Zircon",,,,,,,,,"[{""Eardrop Width "":"" 0.8 cm"",""Eardrop Height "":"" 1.1 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.3 inch"",""Eardrop Height "":"" 0.4 inch"",""Size"":""one-size""}]","AU$4.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/09/1639021889b409e8da21954a9d2398a5aaa15331c5.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/25/16351403389f0d679eea8fd0a495aad96bb10dd194.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/09/1639021892342e07dbc31fb59099158c78699fd209.jpg,https://img.ltwebstatic.com/images3_pi/2021/10/25/163514033762da4a49e0bc177a6e244d5b50cdfd2a.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Square Charm Necklace",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Details:Geometric,Type:Pendant Necklaces,Magnetic:No,Material:Copper,Color:Gold,Metals Type:K-Gold,Metals Type:Artificial Zircon",,,,,,,,,"[{""Length "":"" 40-46 cm"",""Size"":""one-size""},{""Length "":"" 15.7-18.1 inch"",""Size"":""one-size""}]","AU$5.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/05/17/16527643202008c6e6af48d54cfc9d2fbd9f9ce51b.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/1652764321f0a713a6002e335ac770db146b36ec6a.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/16527643229d931a5ab8eaf4e1a00665b4a1ed31e7.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/1652764323197c3e7ec1eb897208e5d4618a4c976d.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/16527643258a56fe70f7dae57872bc9259a5e21cb2.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/1652764337b5e467b835e2c33e68913f0171b5d623.jpg,https://img.ltwebstatic.com/images3_pi/2022/05/17/1652764351aca6d8e7ec53b6d245dc969de94d108a.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Hoop Earrings",,,,,"Gender:Women,Quantity:2 pcs,Style:Elegant,Color:Gold,Type:Hoop,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Eardrop Width "":"" 1.0 cm"",""Eardrop Height "":"" 2.0 cm"",""Size"":""one-size""},{""Eardrop Width "":"" 0.4 inch"",""Eardrop Height "":"" 0.8 inch"",""Size"":""one-size""}]","AU$5.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/09/08/163109845158cb3dda63dac783bdfecfe792067de7.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/08/16310984546ba681d3a960cd933eec1c90c5565db7.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/08/163109845601c50bb655d9b7783e4bb072fa615586.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/08/163109845822cd2b24c34d922276d5a067e12424a6.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/08/1631098460673c5afa52f3f027e8d0179c87e8056e.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/08/163109846298f1f8dabebf713cdcc9277d22948ab1.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Cuff Bangle",,,,,"Gender:Women,Quantity:1 piece,Color:Gold,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 55-65 cm"",""Size"":""one-size""},{""Diameter "":"" 21.7-25.6 inch"",""Size"":""one-size""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/23/1640223273b1d568344fd51dac021138b46aca1047.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/09/1631156873c52bdbb2f8237dad0d6e88997952749a.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/09/1631156876096b230209c86ad5ce2c8424155bef2a.jpg,https://img.ltwebstatic.com/images3_pi/2021/09/09/1631156879dc446625b27578586376ef1a7fe21408.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/23/16402232750f9e81caf8201c6dc8f771cef061c2f4.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/23/164022327785fd7d8dc8913a7657802c15b149738b.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/23/1640223281679ceeb305402b4cbd15086ce36a97ad.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Butterfly Decor Cuff Ring",,,,,"Gender:Women,Quantity:1 piece,Style:Glamorous,Details:Rhinestone,Details:Butterfly,Color:Gold,Type:Single Ring,Material:Copper,Metals Type:K-Gold,Metals Type:Artificial Zircon",,,,,,,,,"[{""Diameter "":"" 1.95 cm"",""Size"":""one-size""},{""Diameter "":"" 0.8 inch"",""Size"":""one-size""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/01/18/16424726964f4d6cec41b30c8b2f69f437cb1f7adb.jpg,https://img.ltwebstatic.com/images3_pi/2022/01/18/1642472697ce5c67d31d4a540592144b09c976a99f.jpg,https://img.ltwebstatic.com/images3_pi/2022/01/18/16424726999c4bfbda5ae14fc124d7e2eaa33814cd.jpg,https://img.ltwebstatic.com/images3_pi/2022/01/18/1642472700092a9beb1d4dff4969fe2b9b5cac830e.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Detail Cuff Bangle",,,,,"Gender:Women,Quantity:1 piece,Style:Fashionable,Color:Gold,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 5.5-6.5 cm"",""Size"":""one-size""},{""Diameter "":"" 2.2-2.6 inch"",""Size"":""one-size""}]","AU$4.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/29/1640745254e2f7e2ce6d21556866c395e4351541a9.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/29/1640745256ab87f50f2cfbf1a7d71743290396f38a.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/29/16407452578d50afde7fe2a57d465b2227ded92c98.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/29/164074525980ea2edaa1528a72d421ac9a038972fc.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/29/1640745262fdadd98d7bcee5b84240a4db404a7bf0.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"Men Stainless Steel Ring",,,,,"Gender:Men,Quantity:1 piece,Style:Fashionable,Color:Silver,Material:Stainless Steel,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 1.7 cm"",""Size"":""7""},{""Diameter "":"" 1.8 cm"",""Size"":""8""},{""Diameter "":"" 1.9 cm"",""Size"":""9""},{""Diameter "":"" 2.0 cm"",""Size"":""10""},{""Diameter "":"" 2.1 cm"",""Size"":""11""},{""Diameter "":"" 2.2 cm"",""Size"":""12""},{""Diameter "":"" 2.0 cm"",""Size"":""one-size""},{""Diameter "":"" 2.3 cm"",""Size"":""13""},{""Diameter "":"" 0.7 inch"",""Size"":""7""},{""Diameter "":"" 0.7 inch"",""Size"":""8""},{""Diameter "":"" 0.7 inch"",""Size"":""9""},{""Diameter "":"" 0.8 inch"",""Size"":""10""},{""Diameter "":"" 0.8 inch"",""Size"":""11""},{""Diameter "":"" 0.9 inch"",""Size"":""12""},{""Diameter "":"" 0.8 inch"",""Size"":""one-size""},{""Diameter "":"" 0.9 inch"",""Size"":""13""}]","AU$2.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/16/16396406764843d95958a8c6782be0f5ca87da341b.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/16/163964068500b2c7fe17f4d98a245651ca8ca75efd.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/06/16387845883e1e50a6350e09b768e19867a8c2a0ec.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Decor Ring",,,,,"Gender:Women,Quantity:1 piece,Style:Glamorous,Color:Gold,Type:Single Ring,Material:Copper,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 1.7 cm"",""Size"":""7""},{""Diameter "":"" 0.7 inch"",""Size"":""7""}]","AU$3.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2022/04/21/1650520729ff9f80ceccd1f5491ebb22749edcbbe8.jpg,https://img.ltwebstatic.com/images3_pi/2022/04/21/1650520730d0fd74bf3fe67c0254bf0bb98d5e432b.jpg,https://img.ltwebstatic.com/images3_pi/2022/04/21/1650520731f65f673ff3a841077244520109da1b7d.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"Heart Zircon Decor Ring",,,,,"Gender:Women,Quantity:1 piece,Details:Heart,Color:Antique Silver,Material:Artificial Zircon,Metals Type:Zircon",,,,,,,,,"[{""Diameter "":"" 2.0 cm"",""Size"":""one-size""},{""Diameter "":"" 0.8 inch"",""Size"":""one-size""}]","AU$1.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/08/16389425271f464a90adcb0b4823ab16d83b391b2d.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/08/16389425290c65adef7f7a670df803b6f718aa09cc.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/08/1638942530e9a23b74e2ef1f7f17dee86eaa752c5b.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/03/1638495179ae78f7ff2fafb71a88f41a1b4bfa9685.jpg",,,,,,,,,,,,,,,,,,,,,,
,,,"18K Gold Plated Zircon Decor Ring",,,,,"Gender:Women,Quantity:1 piece,Color:Gold,Material:Stainless Steel,Metals Type:K-Gold",,,,,,,,,"[{""Diameter "":"" 1.63 cm"",""Size"":""one-size""},{""Diameter "":"" 0.6 inch"",""Size"":""one-size""}]","AU$4.95",,,,,,,,,,,,"https://img.ltwebstatic.com/images3_pi/2021/12/13/1639359212f479c466790b9d2ce690550b2818fc02.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/13/1639359213b31b9bdad3b153afcf9eafb72f4eeb26.jpg,https://img.ltwebstatic.com/images3_pi/2021/12/13/1639359215f4349650d07029e390425394c8b752ca.jpg",,,,,,,,,,,,,,,,,,,,,,
